Country,MHQ SCORE,Economic Participation and Opportunity, Education Attainment,Health and Survival,Political Empowerement,Poverty Index,Gross Domestic Product,Human Development,Global Health Index,Climate change,Continents
Venezuela,91,0.617,0.998,0.98,0.199,0,NA,0.691,20.9,NA,SOUTH AMERICA
Spain,85,0.699,0.998,0.965,0.491,0,1425277,0.905,60.9,45.02,EUROPE
Democratic public of congo,82,0.571,0.658,0.976,0.099,0.112,NA,0.479,26.1,NA,AFRICA
Switzerland,82,0.743,0.992,0.964,0.494,0,812867,0.962,58.8,60.85,EUROPE
Peru,78,0.629,0.981,0.964,0.31,0.029,223249,0.762,54.9,NA,SOUTH AMERICA
Argentina,75,0.639,1,0.977,0.398,0,491493,0.842,54.4,40.48,SOUTH AMERICA
Belgium,75,0.709,1,0.968,0.48,0,599879,0.937,59.3,45.11,EUROPE
Singapore,74,0.749,0.99,0.963,0.208,0,396987,0.939,57.4,NA,ASIA
Ecuador,74,0.675,0.997,0.968,0.318,0.018,106166,0.74,50.8,NA,SOUTH AMERICA
UAE,73,0.51,0.987,0.963,0.403,0,358867,0.911,39.6,NA,ASIA
Tunisia,73,0.445,0.97,0.969,0.212,0.003,NA,0.731,31.5,NA,AFRICA
France,73,0.71,1,0.97,0.457,0,2937473,0.903,61.9,53.72,EUROPE
Cote d'lvoire,72,0.664,0.828,0.979,0.076,0.236,NA,0.55,31.2,NA,AFRICA
Chile,71,0.61,1,0.97,0.283,0,317059,0.855,56.2,64.05,SOUTH AMERICA
Nigeria,71,0.687,0.806,0.967,0.047,0.254,440777,0.535,38,NA,AFRICA
Cameroon,71,0.706,0.885,0.973,0.202,0.232,NA,0.576,28.6,NA,AFRICA
Mexico,71,0.59,0.997,0.975,0.468,0,1293038,0.758,57,48.76,NORTH AMERICA
Guatemala,70,0.56,0.969,0.979,0.112,0.134,NA,0.627,29.1,NA,NORTH AMERICA
Columbia,70,0.708,1,0.975,0.216,0.02,314322,0.752,53.2,NA,SOUTH AMERICA
Morocco,70,0.407,0.956,0.961,0.126,0.027,132725,0.683,33.6,67.59,AFRICA
Algeria,69,0.456,0.966,0.958,0.151,0.005,167983,0.745,26.2,43.27,AFRICA
Saudi Arabia,68,0.39,0.98,0.964,0.077,0,833541,0.875,44.9,22.46,ASIA
Yemen,64,0.282,0.717,0.968,0.001,0,NA,0.455,16.1,NA,ASIA
United States,63,0.754,1,0.97,0.329,0,22996100,0.921,75.9,19.75,NORTH AMERICA
Canada,63,0.741,1,0.968,0.381,0,1990762,0.936,69.8,24.82,NORTH AMERICA
Egypt,60,0.421,0.973,0.968,0.196,0.02,404143,0.731,28,54.33,AFRICA
New  Zealand,59,0.763,1,0.966,0.63,0,249992,0.937,62.5,51.3,AUSTRALIA
Iraq,57,0.228,0.807,0.968,0.136,0.033,207889,0.686,24,NA,ASIA
India,56,0.326,0.962,0.937,0.276,0.123,3173398,0.633,42.8,63.98,ASIA
Ireland,56,0.733,0.998,0.964,0.504,0,498560,0.945,55.3,45.47,EUROPE
Australia,54,0.7,1,0.968,0.258,0,1542660,0.951,71.1,28.82,AUSTRALIA
Uk,46,0.716,0.999,0.966,0.419,0,3186860,0.929,67.2,69.66,EUROPE
South Africa,46,0.658,0.994,0.979,0.493,0,419946,0.713,45.8,46.13,AFRICA
